"Primary Type","yearmo","count","year","month"
"NARCOTICS",Oct 2011,2976,2011,"Oct"
"ROBBERY",Oct 2011,1400,2011,"Oct"
"ASSAULT",Nov 2011,1455,2011,"Nov"
"BURGLARY",Nov 2011,2293,2011,"Nov"
"CRIMINAL TRESPASS",Nov 2011,622,2011,"Nov"
"MOTOR VEHICLE THEFT",Nov 2011,1509,2011,"Nov"
"NARCOTICS",Nov 2011,3037,2011,"Nov"
"ROBBERY",Nov 2011,1215,2011,"Nov"
"ASSAULT",Dec 2011,1408,2011,"Dec"
"BURGLARY",Dec 2011,2196,2011,"Dec"
"CRIMINAL TRESPASS",Dec 2011,618,2011,"Dec"
"MOTOR VEHICLE THEFT",Dec 2011,1503,2011,"Dec"
"NARCOTICS",Dec 2011,2915,2011,"Dec"
"ROBBERY",Dec 2011,1227,2011,"Dec"
"ASSAULT",Jan 2012,1294,2012,"Jan"
"BURGLARY",Jan 2012,1757,2012,"Jan"
"CRIMINAL TRESPASS",Jan 2012,662,2012,"Jan"
"MOTOR VEHICLE THEFT",Jan 2012,1439,2012,"Jan"
"NARCOTICS",Jan 2012,3268,2012,"Jan"
"ROBBERY",Jan 2012,1011,2012,"Jan"
"ASSAULT",Feb 2012,1323,2012,"Feb"
"BURGLARY",Feb 2012,1396,2012,"Feb"
"CRIMINAL TRESPASS",Feb 2012,698,2012,"Feb"
"MOTOR VEHICLE THEFT",Feb 2012,1150,2012,"Feb"
"NARCOTICS",Feb 2012,3579,2012,"Feb"
"ROBBERY",Feb 2012,695,2012,"Feb"
"ASSAULT",Mar 2012,1856,2012,"Mar"
"BURGLARY",Mar 2012,1638,2012,"Mar"
"CRIMINAL TRESPASS",Mar 2012,686,2012,"Mar"
"MOTOR VEHICLE THEFT",Mar 2012,1353,2012,"Mar"
"NARCOTICS",Mar 2012,3541,2012,"Mar"
"ROBBERY",Mar 2012,845,2012,"Mar"
"ASSAULT",Apr 2012,1626,2012,"Apr"
"BURGLARY",Apr 2012,1646,2012,"Apr"
"CRIMINAL TRESPASS",Apr 2012,677,2012,"Apr"
"MOTOR VEHICLE THEFT",Apr 2012,1334,2012,"Apr"
"NARCOTICS",Apr 2012,3025,2012,"Apr"
"ROBBERY",Apr 2012,975,2012,"Apr"
"ASSAULT",May 2012,1927,2012,"May"
"BURGLARY",May 2012,1924,2012,"May"
"CRIMINAL TRESPASS",May 2012,706,2012,"May"
"MOTOR VEHICLE THEFT",May 2012,1465,2012,"May"
"NARCOTICS",May 2012,3066,2012,"May"
"ROBBERY",May 2012,1267,2012,"May"
"ASSAULT",Jun 2012,1896,2012,"Jun"
"BURGLARY",Jun 2012,2063,2012,"Jun"
"CRIMINAL TRESPASS",Jun 2012,658,2012,"Jun"
"MOTOR VEHICLE THEFT",Jun 2012,1467,2012,"Jun"
"NARCOTICS",Jun 2012,3059,2012,"Jun"
"ROBBERY",Jun 2012,1282,2012,"Jun"
"ASSAULT",Jul 2012,1929,2012,"Jul"
"BURGLARY",Jul 2012,2276,2012,"Jul"
"CRIMINAL TRESPASS",Jul 2012,772,2012,"Jul"
"MOTOR VEHICLE THEFT",Jul 2012,1422,2012,"Jul"
"NARCOTICS",Jul 2012,3222,2012,"Jul"
"ROBBERY",Jul 2012,1332,2012,"Jul"
"ASSAULT",Aug 2012,1889,2012,"Aug"
"BURGLARY",Aug 2012,2219,2012,"Aug"
"CRIMINAL TRESPASS",Aug 2012,770,2012,"Aug"
"MOTOR VEHICLE THEFT",Aug 2012,1346,2012,"Aug"
"NARCOTICS",Aug 2012,2660,2012,"Aug"
"ROBBERY",Aug 2012,1272,2012,"Aug"
"ASSAULT",Sep 2012,1634,2012,"Sep"
"BURGLARY",Sep 2012,1991,2012,"Sep"
"CRIMINAL TRESPASS",Sep 2012,703,2012,"Sep"
"MOTOR VEHICLE THEFT",Sep 2012,1305,2012,"Sep"
"NARCOTICS",Sep 2012,2611,2012,"Sep"
"ROBBERY",Sep 2012,1168,2012,"Sep"
"ASSAULT",Oct 2012,1728,2012,"Oct"
"BURGLARY",Oct 2012,2128,2012,"Oct"
"CRIMINAL TRESPASS",Oct 2012,700,2012,"Oct"
"MOTOR VEHICLE THEFT",Oct 2012,1376,2012,"Oct"
"NARCOTICS",Oct 2012,2562,2012,"Oct"
"ROBBERY",Oct 2012,1232,2012,"Oct"
"ASSAULT",Nov 2012,1404,2012,"Nov"
"BURGLARY",Nov 2012,1992,2012,"Nov"
"CRIMINAL TRESPASS",Nov 2012,599,2012,"Nov"
"MOTOR VEHICLE THEFT",Nov 2012,1414,2012,"Nov"
"NARCOTICS",Nov 2012,2442,2012,"Nov"
"ROBBERY",Nov 2012,1211,2012,"Nov"
"ASSAULT",Dec 2012,1388,2012,"Dec"
"BURGLARY",Dec 2012,1807,2012,"Dec"
"CRIMINAL TRESPASS",Dec 2012,584,2012,"Dec"
"MOTOR VEHICLE THEFT",Dec 2012,1412,2012,"Dec"
"NARCOTICS",Dec 2012,2435,2012,"Dec"
"ROBBERY",Dec 2012,1193,2012,"Dec"
"ASSAULT",Jan 2013,1395,2013,"Jan"
"BURGLARY",Jan 2013,1584,2013,"Jan"
"CRIMINAL TRESPASS",Jan 2013,740,2013,"Jan"
"MOTOR VEHICLE THEFT",Jan 2013,1469,2013,"Jan"
"NARCOTICS",Jan 2013,2935,2013,"Jan"
"ROBBERY",Jan 2013,1094,2013,"Jan"
"ASSAULT",Feb 2013,1181,2013,"Feb"
"BURGLARY",Feb 2013,1171,2013,"Feb"
"CRIMINAL TRESPASS",Feb 2013,656,2013,"Feb"
"MOTOR VEHICLE THEFT",Feb 2013,1247,2013,"Feb"
"NARCOTICS",Feb 2013,2831,2013,"Feb"
"ROBBERY",Feb 2013,731,2013,"Feb"
"ASSAULT",Mar 2013,1415,2013,"Mar"
"BURGLARY",Mar 2013,1247,2013,"Mar"
"CRIMINAL TRESPASS",Mar 2013,699,2013,"Mar"
"MOTOR VEHICLE THEFT",Mar 2013,1087,2013,"Mar"
"NARCOTICS",Mar 2013,3296,2013,"Mar"
"ROBBERY",Mar 2013,772,2013,"Mar"
"ASSAULT",Apr 2013,1611,2013,"Apr"
"BURGLARY",Apr 2013,1366,2013,"Apr"
"CRIMINAL TRESPASS",Apr 2013,713,2013,"Apr"
"MOTOR VEHICLE THEFT",Apr 2013,926,2013,"Apr"
"NARCOTICS",Apr 2013,2971,2013,"Apr"
"ROBBERY",Apr 2013,849,2013,"Apr"
"ASSAULT",May 2013,1843,2013,"May"
"BURGLARY",May 2013,1560,2013,"May"
"CRIMINAL TRESPASS",May 2013,729,2013,"May"
"MOTOR VEHICLE THEFT",May 2013,960,2013,"May"
"NARCOTICS",May 2013,3076,2013,"May"
"ROBBERY",May 2013,976,2013,"May"
"ASSAULT",Jun 2013,1758,2013,"Jun"
"BURGLARY",Jun 2013,1475,2013,"Jun"
"CRIMINAL TRESPASS",Jun 2013,683,2013,"Jun"
"MOTOR VEHICLE THEFT",Jun 2013,1037,2013,"Jun"
"NARCOTICS",Jun 2013,2671,2013,"Jun"
"ROBBERY",Jun 2013,990,2013,"Jun"
"ASSAULT",Jul 2013,1633,2013,"Jul"
"BURGLARY",Jul 2013,1564,2013,"Jul"
"CRIMINAL TRESPASS",Jul 2013,680,2013,"Jul"
"MOTOR VEHICLE THEFT",Jul 2013,1034,2013,"Jul"
"NARCOTICS",Jul 2013,2973,2013,"Jul"
"ROBBERY",Jul 2013,1224,2013,"Jul"
